category,scientific_name,common_names,conservation_status,park_name,observations
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,No Intervention,Bryce National Park,130
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,No Intervention,Yellowstone National Park,270
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,No Intervention,Great Smoky Mountains National Park,98
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,No Intervention,Yosemite National Park,117
Mammal,Bos bison,"American Bison, Bison",No Intervention,Yosemite National Park,128
Mammal,Bos bison,"American Bison, Bison",No Intervention,Yellowstone National Park,269
Mammal,Bos bison,"American Bison, Bison",No Intervention,Bryce National Park,68
Mammal,Bos bison,"American Bison, Bison",No Intervention,Great Smoky Mountains National Park,77
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",No Intervention,Bryce National Park,99
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",No Intervention,Yosemite National Park,124
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",No Intervention,Yellowstone National Park,235
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",No Intervention,Great Smoky Mountains National Park,56
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",No Intervention,Yosemite National Park,126
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",No Intervention,Great Smoky Mountains National Park,76
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",No Intervention,Bryce National Park,119
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",No Intervention,Yellowstone National Park,221
Mammal,Cervus elaphus,Wapiti Or Elk,No Intervention,Yellowstone National Park,225
Mammal,Cervus elaphus,Wapiti Or Elk,No Intervention,Yellowstone National Park,270
Mammal,Cervus elaphus,Wapiti Or Elk,No Intervention,Great Smoky Mountains National Park,60
Mammal,Cervus elaphus,Wapiti Or Elk,No Intervention,Yosemite National Park,203
Mammal,Cervus elaphus,Wapiti Or Elk,No Intervention,Great Smoky Mountains National Park,101
Mammal,Cervus elaphus,Wapiti Or Elk,No Intervention,Bryce National Park,96
Mammal,Cervus elaphus,Wapiti Or Elk,No Intervention,Bryce National Park,87
Mammal,Cervus elaphus,Wapiti Or Elk,No Intervention,Yosemite National Park,176
Mammal,Cervus elaphus,Rocky Mountain Elk,No Intervention,Yellowstone National Park,225
Mammal,Cervus elaphus,Rocky Mountain Elk,No Intervention,Yellowstone National Park,270
Mammal,Cervus elaphus,Rocky Mountain Elk,No Intervention,Great Smoky Mountains National Park,60
Mammal,Cervus elaphus,Rocky Mountain Elk,No Intervention,Yosemite National Park,203
Mammal,Cervus elaphus,Rocky Mountain Elk,No Intervention,Great Smoky Mountains National Park,101
Mammal,Cervus elaphus,Rocky Mountain Elk,No Intervention,Bryce National Park,96
Mammal,Cervus elaphus,Rocky Mountain Elk,No Intervention,Bryce National Park,87
Mammal,Cervus elaphus,Rocky Mountain Elk,No Intervention,Yosemite National Park,176
Mammal,Odocoileus virginianus,White-Tailed Deer,No Intervention,Great Smoky Mountains National Park,36
Mammal,Odocoileus virginianus,White-Tailed Deer,No Intervention,Yellowstone National Park,224
Mammal,Odocoileus virginianus,White-Tailed Deer,No Intervention,Yellowstone National Park,260
Mammal,Odocoileus virginianus,White-Tailed Deer,No Intervention,Yosemite National Park,135
Mammal,Odocoileus virginianus,White-Tailed Deer,No Intervention,Bryce National Park,77
Mammal,Odocoileus virginianus,White-Tailed Deer,No Intervention,Yosemite National Park,150
Mammal,Odocoileus virginianus,White-Tailed Deer,No Intervention,Great Smoky Mountains National Park,73
Mammal,Odocoileus virginianus,White-Tailed Deer,No Intervention,Bryce National Park,106
Mammal,Odocoileus virginianus,"White-Tailed Deer, White-Tailed Deer",No Intervention,Great Smoky Mountains National Park,36
Mammal,Odocoileus virginianus,"White-Tailed Deer, White-Tailed Deer",No Intervention,Yellowstone National Park,224
Mammal,Odocoileus virginianus,"White-Tailed Deer, White-Tailed Deer",No Intervention,Yellowstone National Park,260
Mammal,Odocoileus virginianus,"White-Tailed Deer, White-Tailed Deer",No Intervention,Yosemite National Park,135
Mammal,Odocoileus virginianus,"White-Tailed Deer, White-Tailed Deer",No Intervention,Bryce National Park,77
Mammal,Odocoileus virginianus,"White-Tailed Deer, White-Tailed Deer",No Intervention,Yosemite National Park,150
Mammal,Odocoileus virginianus,"White-Tailed Deer, White-Tailed Deer",No Intervention,Great Smoky Mountains National Park,73
Mammal,Odocoileus virginianus,"White-Tailed Deer, White-Tailed Deer",No Intervention,Bryce National Park,106
Mammal,Sus scrofa,"Feral Hog, Wild Pig",No Intervention,Great Smoky Mountains National Park,99
Mammal,Sus scrofa,"Feral Hog, Wild Pig",No Intervention,Yosemite National Park,147
Mammal,Sus scrofa,"Feral Hog, Wild Pig",No Intervention,Yosemite National Park,125
Mammal,Sus scrofa,"Feral Hog, Wild Pig",No Intervention,Bryce National Park,113
Mammal,Sus scrofa,"Feral Hog, Wild Pig",No Intervention,Yellowstone National Park,212
Mammal,Sus scrofa,"Feral Hog, Wild Pig",No Intervention,Great Smoky Mountains National Park,106
Mammal,Sus scrofa,"Feral Hog, Wild Pig",No Intervention,Yellowstone National Park,237
Mammal,Sus scrofa,"Feral Hog, Wild Pig",No Intervention,Bryce National Park,127
Mammal,Sus scrofa,"Pig, Pig (Feral), Wild Boar, Wild Boar",No Intervention,Great Smoky Mountains National Park,99
Mammal,Sus scrofa,"Pig, Pig (Feral), Wild Boar, Wild Boar",No Intervention,Yosemite National Park,147
Mammal,Sus scrofa,"Pig, Pig (Feral), Wild Boar, Wild Boar",No Intervention,Yosemite National Park,125
Mammal,Sus scrofa,"Pig, Pig (Feral), Wild Boar, Wild Boar",No Intervention,Bryce National Park,113
Mammal,Sus scrofa,"Pig, Pig (Feral), Wild Boar, Wild Boar",No Intervention,Yellowstone National Park,212
