category,scientific_name,common_names,conservation_status
Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,No Intervention
Mammal,Bos bison,"American Bison, Bison",No Intervention
Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",No Intervention
Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",No Intervention
Mammal,Cervus elaphus,Wapiti Or Elk,No Intervention
Mammal,Odocoileus virginianus,White-Tailed Deer,No Intervention
Mammal,Sus scrofa,"Feral Hog, Wild Pig",No Intervention
Mammal,Canis latrans,Coyote,Species of Concern
Mammal,Canis lupus,Gray Wolf,Endangered
Mammal,Canis rufus,Red Wolf,Endangered
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",No Intervention
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",No Intervention
Mammal,Vulpes vulpes,Red Fox,No Intervention
Mammal,Felis concolor,Mountain Lion,No Intervention
Mammal,Felis silvestris,"Wild Cat, Wildcat",No Intervention
Mammal,Lynx rufus,Bobcat,No Intervention
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention
Mammal,Mephitis mephitis,Striped Skunk,No Intervention
Mammal,Spilogale putorius,Eastern Spotted Skunk,No Intervention
Mammal,Lontra canadensis,River Otter,No Intervention
Mammal,Lutra canadensis,Northern River Otter,No Intervention
Mammal,Martes pennanti,Fisher,No Intervention
Mammal,Mustela,Mink (Or Weasel),No Intervention
Mammal,Mustela frenata,Long-Tailed Weasel,No Intervention
Mammal,Mustela nivalis,Least Weasel,No Intervention
Mammal,Mustela vison,Mink,No Intervention
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention
Mammal,Ursus americanus,Black Bear,No Intervention
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,No Intervention
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern
Mammal,Lasionycteris noctivagans,Silver-Haired Bat,Species of Concern
Mammal,Lasiurus borealis,"Eastern Red Bat, Red Bat",No Intervention
Mammal,Lasiurus cinereus,Hoary Bat,No Intervention
Mammal,Myotis austroriparius,"Mississippi Myotis, Southeastern Myotis",Species of Concern
Mammal,Myotis grisescens,Gray Myotis,Endangered
Mammal,Myotis keenii,Keen's Myotis,Species of Concern
Mammal,Myotis leibii,"Eastern Small-Footed Bat, Eastern Small-Footed Myotis",Species of Concern
Mammal,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Species of Concern
Mammal,Myotis septentrionalis,"Northern Long-Eared Bat, Northern Myotis",Threatened
Mammal,Myotis sodalis,"Indiana Bat, Indiana Or Social Myotis",Endangered
Mammal,Nycticeius humeralis,Evening Bat,No Intervention
Mammal,Pipistrellus subflavus,Eastern Pipistrelle,No Intervention
Mammal,Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",No Intervention
Mammal,Lepus americanus,Snowshoe Hare,No Intervention
Mammal,Sylvilagus floridanus,Eastern Cottontail,No Intervention
Mammal,Sylvilagus obscurus,Appalachian Cottontail,No Intervention
Mammal,Sylvilagus transitionalis,New England Cottontail,No Intervention
Mammal,Equus caballus,"Feral Horse, Horse",No Intervention
Mammal,Homo sapiens,"Human, Humans, Man",No Intervention
Mammal,Castor canadensis,"American Beaver, Beaver",No Intervention
Mammal,Clethrionomys gapperi,Southern Red-Backed Vole,No Intervention
Mammal,Microtus chrotorrhinus,"Rock Vole, Southern Rock Vole",No Intervention
Mammal,Microtus pennsylvanicus,Meadow Vole,No Intervention
Mammal,Microtus pinetorum,Woodland Vole,No Intervention
Mammal,Neotoma floridana,Eastern Woodrat,No Intervention
Mammal,Neotoma magister,"Allegheny Woodrat, Appalachian Woodrat",No Intervention
Mammal,Ochrotomys nuttalli,Golden Mouse,No Intervention
Mammal,Ondatra zibethicus,Muskrat,No Intervention
Mammal,Oryzomys palustris,Marsh Rice Rat,No Intervention
Mammal,Oryzomys palustris palustris,Marsh Rice Rat,No Intervention
Mammal,Peromyscus gossypinus,Cotton Mouse,No Intervention
Mammal,Peromyscus leucopus,White-Footed Mouse,No Intervention
Mammal,Peromyscus maniculatus,Deer Mouse,No Intervention
Mammal,Reithrodontomys humulis,Eastern Harvest Mouse,No Intervention
Mammal,Synaptomys cooperi,Southern Bog Lemming,No Intervention
Mammal,Synaptomys cooperi stonei,Stone's Southern Bog Lemming,No Intervention
Mammal,Napaeozapus insignis,Woodland Jumping Mouse,No Intervention
Mammal,Zapus hudsonius,Meadow Jumping Mouse,No Intervention
Mammal,Erethizon dorsatum,"Common Porcupine, Porcupine",No Intervention
Mammal,Mus musculus,House Mouse,No Intervention
Mammal,Rattus norvegicus,Norway Rat,No Intervention
Mammal,Rattus rattus,Black Rat,No Intervention
Mammal,Glaucomys sabrinus coloratus,"Carolina Northern Flying Squirrel, Northern Flying Squirrel",Endangered
Mammal,Glaucomys volans,Southern Flying Squirrel,No Intervention
Mammal,Marmota monax,Woodchuck,No Intervention
Mammal,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel",No Intervention
Mammal,Sciurus niger,"Eastern Fox Squirrel, Fox Squirrel",No Intervention
Mammal,Tamias striatus,Eastern Chipmunk,No Intervention
Mammal,Tamiasciurus hudsonicus,Red Squirrel,No Intervention
Mammal,Blarina brevicauda,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",No Intervention
Mammal,Cryptotis parva,Least Shrew,No Intervention
Mammal,Sorex cinereus,"Common Shrew, Masked Shrew",No Intervention
Mammal,Sorex dispar,"Long-Tailed Or Rock Shrew, Long-Tailed Shrew",No Intervention
Mammal,Sorex fumeus,Smoky Shrew,No Intervention
Mammal,Sorex hoyi,Pygmy Shrew,No Intervention
Mammal,Sorex longirostris,Southeastern Shrew,No Intervention
Mammal,Sorex palustris,Water Shrew,No Intervention
Mammal,Condylura cristata,Star-Nosed Mole,No Intervention
Mammal,Parascalops breweri,Hairy-Tailed Mole,No Intervention
Mammal,Scalopus aquaticus,Eastern Mole,No Intervention
Bird,Vermivora pinus X chrysoptera,Brewster's Warbler,No Intervention
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern
Bird,Accipiter gentilis,Northern Goshawk,No Intervention
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern
Bird,Aquila chrysaetos,Golden Eagle,Species of Concern
Bird,Buteo jamaicensis,Red-Tailed Hawk,No Intervention
Bird,Buteo lineatus,Red-Shouldered Hawk,Species of Concern
Bird,Buteo platypterus,Broad-Winged Hawk,No Intervention
Bird,Circus cyaneus,Northern Harrier,Species of Concern
Bird,Elanoides forficatus,"American Swallow-Tailed Kite, Swallow-Tailed Kite",Species of Concern
Bird,Haliaeetus leucocephalus,Bald Eagle,In Recovery
Bird,Ictinia mississippiensis,Mississippi Kite,No Intervention
Bird,Cathartes aura,Turkey Vulture,Species of Concern
Bird,Coragyps atratus,Black Vulture,No Intervention
Bird,Pandion haliaetus,Osprey,Species of Concern
Bird,Aix sponsa,Wood Duck,No Intervention
Bird,Anas acuta,Northern Pintail,No Intervention
Bird,Anas americana,American Wigeon,No Intervention
Bird,Anas clypeata,Northern Shoveler,No Intervention
Bird,Anas crecca,Green-Winged Teal,No Intervention
Bird,Anas discors,Blue-Winged Teal,No Intervention
Bird,Anas platyrhynchos,Mallard,No Intervention
Bird,Anas rubripes,American Black Duck,No Intervention
Bird,Aythya affinis,Lesser Scaup,Species of Concern
